date,category,total_cases,reported,spk_issued,invoice,paid,pct_reported,pct_spk,pct_invoice,pct_paid
2026-05-22,nongrab_avrist,442.0,442.0,434.0,433.0,125.0,100.0,98.19,97.96,28.28
2026-05-22,nongrab_sinarmas,204.0,204.0,204.0,199.0,0.0,100.0,100.0,97.55,0.0
2026-05-22,grab_allrisk,26.0,26.0,26.0,24.0,0.0,100.0,100.0,92.31,0.0
2026-05-22,nongrab_allrisk,1927.0,1804.0,1531.0,961.0,408.0,93.62,79.45,49.87,21.17
2026-05-23,grab_oona,2620.0,2620.0,2530.0,2520.0,1445.0,100.0,96.56,96.18,55.15
2026-05-23,grab_avrist,1855.0,1855.0,1773.0,1773.0,1320.0,100.0,95.58,95.58,71.16
2026-05-23,nongrab_oona,83.0,83.0,83.0,81.0,0.0,100.0,100.0,97.59,0.0
2026-05-23,nongrab_avrist,447.0,447.0,439.0,438.0,125.0,100.0,98.21,97.99,27.96
2026-05-23,nongrab_sinarmas,209.0,209.0,209.0,204.0,0.0,100.0,100.0,97.61,0.0
2026-05-23,grab_allrisk,26.0,26.0,26.0,24.0,0.0,100.0,100.0,92.31,0.0
2026-05-23,nongrab_allrisk,1938.0,1811.0,1537.0,961.0,408.0,93.45,79.31,49.59,21.05
2026-05-24,grab_oona,2623.0,2623.0,2532.0,2522.0,1445.0,100.0,96.53,96.15,55.09
2026-05-24,grab_avrist,1858.0,1858.0,1775.0,1775.0,1320.0,100.0,95.53,95.53,71.04
2026-05-24,nongrab_oona,83.0,83.0,83.0,81.0,0.0,100.0,100.0,97.59,0.0
2026-05-24,nongrab_avrist,447.0,447.0,439.0,438.0,125.0,100.0,98.21,97.99,27.96
2026-05-24,nongrab_sinarmas,209.0,209.0,209.0,204.0,0.0,100.0,100.0,97.61,0.0
2026-05-24,grab_allrisk,26.0,26.0,26.0,24.0,0.0,100.0,100.0,92.31,0.0
2026-05-24,nongrab_allrisk,1941.0,1813.0,1537.0,961.0,408.0,93.41,79.19,49.51,21.02
2026-05-25,grab_oona,2669.0,2669.0,2569.0,2559.0,1445.0,100.0,96.25,95.88,54.14
2026-05-25,grab_avrist,1882.0,1882.0,1794.0,1794.0,1320.0,100.0,95.32,95.32,70.14
2026-05-25,nongrab_oona,85.0,85.0,85.0,83.0,0.0,100.0,100.0,97.65,0.0
2026-05-25,nongrab_avrist,463.0,463.0,451.0,450.0,125.0,100.0,97.41,97.19,27.0
2026-05-25,nongrab_sinarmas,213.0,213.0,213.0,208.0,0.0,100.0,100.0,97.65,0.0
2026-05-25,grab_allrisk,26.0,26.0,26.0,24.0,0.0,100.0,100.0,92.31,0.0
2026-05-25,nongrab_allrisk,1967.0,1817.0,1548.0,1059.0,408.0,92.37,78.7,53.84,20.74
2026-05-26,grab_oona,2704.0,2704.0,2595.0,2585.0,1445.0,100.0,95.97,95.6,53.44
2026-05-26,grab_avrist,1898.0,1898.0,1808.0,1808.0,1320.0,100.0,95.26,95.26,69.55
2026-05-26,nongrab_oona,86.0,86.0,86.0,84.0,0.0,100.0,100.0,97.67,0.0
2026-05-26,nongrab_avrist,477.0,477.0,458.0,457.0,125.0,100.0,96.02,95.81,26.21
2026-05-26,nongrab_sinarmas,216.0,216.0,216.0,211.0,0.0,100.0,100.0,97.69,0.0
2026-05-26,grab_allrisk,27.0,27.0,27.0,25.0,0.0,100.0,100.0,92.59,0.0
2026-05-26,nongrab_allrisk,1984.0,1822.0,1575.0,1102.0,479.0,91.83,79.39,55.54,24.14
2026-05-27,grab_oona,2708.0,2708.0,2597.0,2587.0,1445.0,100.0,95.9,95.53,53.36
2026-05-27,grab_avrist,1898.0,1898.0,1808.0,1808.0,1320.0,100.0,95.26,95.26,69.55
2026-05-27,nongrab_oona,86.0,86.0,86.0,84.0,0.0,100.0,100.0,97.67,0.0
2026-05-27,nongrab_avrist,480.0,480.0,459.0,458.0,125.0,100.0,95.63,95.42,26.04
2026-05-27,nongrab_sinarmas,217.0,217.0,217.0,212.0,0.0,100.0,100.0,97.7,0.0
2026-05-27,grab_allrisk,27.0,27.0,27.0,25.0,0.0,100.0,100.0,92.59,0.0
2026-05-27,nongrab_allrisk,1984.0,1822.0,1575.0,1102.0,479.0,91.83,79.39,55.54,24.14
2026-05-28,grab_oona,2753.0,2753.0,2636.0,2626.0,1445.0,100.0,95.75,95.39,52.49
2026-05-28,grab_avrist,1918.0,1918.0,1827.0,1827.0,1320.0,100.0,95.26,95.26,68.82
2026-05-28,nongrab_oona,88.0,88.0,88.0,86.0,0.0,100.0,100.0,97.73,0.0
2026-05-28,nongrab_avrist,495.0,495.0,469.0,468.0,125.0,100.0,94.75,94.55,25.25
2026-05-28,nongrab_sinarmas,225.0,225.0,225.0,220.0,0.0,100.0,100.0,97.78,0.0
2026-05-28,grab_allrisk,27.0,27.0,27.0,25.0,0.0,100.0,100.0,92.59,0.0
2026-05-28,nongrab_allrisk,2006.0,1846.0,1576.0,1102.0,479.0,92.02,78.56,54.94,23.88
2026-05-29,grab_oona,2800.0,2800.0,2680.0,2669.0,1445.0,100.0,95.71,95.32,51.61
2026-05-29,grab_avrist,1937.0,1937.0,1845.0,1845.0,1320.0,100.0,95.25,95.25,68.15
2026-05-29,nongrab_oona,89.0,89.0,89.0,87.0,0.0,100.0,100.0,97.75,0.0
2026-05-29,nongrab_avrist,512.0,512.0,484.0,483.0,125.0,100.0,94.53,94.34,24.41
2026-05-29,nongrab_sinarmas,234.0,234.0,234.0,229.0,0.0,100.0,100.0,97.86,0.0
2026-05-29,grab_allrisk,28.0,28.0,28.0,25.0,0.0,100.0,100.0,89.29,0.0
2026-05-29,nongrab_allrisk,2026.0,1847.0,1613.0,1102.0,482.0,91.16,79.62,54.39,23.79
2026-05-30,grab_oona,2824.0,2824.0,2701.0,2690.0,1445.0,100.0,95.64,95.25,51.17
2026-05-30,grab_avrist,1947.0,1947.0,1853.0,1853.0,1320.0,100.0,95.17,95.17,67.8
2026-05-30,nongrab_oona,90.0,90.0,90.0,88.0,0.0,100.0,100.0,97.78,0.0
2026-05-30,nongrab_avrist,520.0,520.0,491.0,490.0,125.0,100.0,94.42,94.23,24.04
2026-05-30,nongrab_sinarmas,239.0,239.0,239.0,234.0,0.0,100.0,100.0,97.91,0.0
2026-05-30,grab_allrisk,28.0,28.0,28.0,25.0,0.0,100.0,100.0,89.29,0.0
2026-05-30,nongrab_allrisk,2037.0,1847.0,1613.0,1102.0,482.0,90.67,79.19,54.1,23.66
2026-05-31,grab_oona,2825.0,2825.0,2702.0,2691.0,1445.0,100.0,95.65,95.26,51.15
2026-05-31,grab_avrist,1947.0,1947.0,1853.0,1853.0,1320.0,100.0,95.17,95.17,67.8
2026-05-31,nongrab_oona,90.0,90.0,90.0,88.0,0.0,100.0,100.0,97.78,0.0
2026-05-31,nongrab_avrist,520.0,520.0,491.0,490.0,125.0,100.0,94.42,94.23,24.04
2026-05-31,nongrab_sinarmas,240.0,240.0,240.0,235.0,0.0,100.0,100.0,97.92,0.0
2026-05-31,grab_allrisk,28.0,28.0,28.0,25.0,0.0,100.0,100.0,89.29,0.0
